commit	primary_score	memory_gb	status	description
d24b573	45.76	84.6	contaminated	baseline ModernBERT-base 4-stage; snli/mnli overlap with SICK-R(2.9%) and STSBench(3.0%)
a3fa28a	43.34	71.3	contaminated	remove snli/mnli but all-nli still has Flickr overlap SICK-R(2.0%) STSBench(1.9%)
